Record,Name,Random Code,Group Link,Department Link,Price1L1,Price2L1,Price3L1,Price4L1,Price1L2,Price2L2,Price3L2,Price4L2,Price1L3,Price2L3,Price3L3,Price4L3,Price1L4,Price2L4,PriceL4,Price1L5,Price2L5,Price3L5,Price1L6,Price2L6,Price3L6,Price1L7,Price2L7,Price3L7,Price1L8,Price2L8,Price3L8,Price1L9,Price2L9,Price3L9,@Quantity1,@Quantity2,@Quantity3,@Quantity4,Alt Mod Text 1,Alt Mod Text 2,Tax Rate Link,Flag1,Flag2,Flag3,Flag4,KP Flag,List PLU 1,List PLU 2,List PLU 3,List PLU 4,List PLU 5,List PLU 6,Stock Flag,Minimum Stock,Mix & Match Link,HALO,Set Menu Link,KP Category Link,SEL Unit,SEL Quantity,Cost Price,Alt Text,Allergens
1,FOSTERS,,1,1,3.9,1.95,0,0,2.5,1.75,2,0,2.65,1.33,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
2,DARK FRUIT,,1,1,4.6,2.3,2.2,0,3.1,2.1,2.2,0,4.2,2.1,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
3,STRONGBOW,,1,1,3.9,1.95,2.2,0,2.6,1.8,2.2,0,2.85,1.45,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
4,GUINNESS,,1,1,4.35,2.17,2.2,0,2.95,1.95,2.2,0,3.05,1.55,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
5,JOHN SMITHS,,1,1,3.6,1.8,2,0,2.2,1.6,2,0,2.45,1.23,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
6,1664,,1,1,4.4,2.2,2.2,0,3,2,2.2,0,3,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
7,HEINEKEN,,1,1,4.45,2.3,0,0,3.05,2,0,0,2.35,1.18,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
8,MORETTI,,1,1,4.8,2.4,2.55,0,3.8,2.4,2.55,0,3.2,1.6,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
9,EXTRA,,1,1,2.85,1.43,1.95,0,2.85,1.43,1.95,0,1.45,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
10,GUEST ALE,,1,1,3.7,1.85,1.8,0,1.6,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
11,BIRRA MORETTI,,1,1,4.9,2.45,2.15,0,3.8,2.4,2.15,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
12,2 CANS MALTSMITH,,1,1,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
13,50P OFF PINT,,1,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
14,STEAK NIGHT DRINKS,,1,1,0,0,0,0,12.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,1,0,0,2,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
15,DRINK VOUCHER,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1,0,0,0,,0
51,DOOMBAR,,1,2,3.7,1.85,0,0,3.6,1.8,3,0,3.6,1.8,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
52,GLUTEN FREE ALE,,1,2,3.75,0,0,0,1.8,1.8,1.8,0,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
53,BULMERS,,1,2,4.4,4.5,0,0,5,5,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
